,date,TMAX,TMIN,TAVG
0,2008-12-15,2.0,-19.0,-8.5
1,2008-12-16,34.0,-8.0,13.0
2,2008-12-17,37.0,14.0,25.5
3,2008-12-18,28.0,5.0,16.5
4,2008-12-19,44.0,14.0,29.0
5,2008-12-20,27.0,4.0,15.5
6,2008-12-21,19.0,0.0,9.5
7,2008-12-22,29.0,1.0,15.0
8,2008-12-23,28.0,10.0,19.0
9,2008-12-24,40.0,14.0,27.0
10,2008-12-25,48.0,12.0,30.0
11,2008-12-26,46.0,14.0,30.0
12,2008-12-27,34.0,11.0,22.5
13,2008-12-28,52.0,31.0,41.5
14,2008-12-29,58.0,29.0,43.5
15,2008-12-30,58.0,21.0,39.5
16,2008-12-31,53.0,18.0,35.5
17,2009-01-01,54.0,36.0,45.0
18,2009-01-02,63.0,32.0,47.5
19,2009-01-03,45.0,16.0,30.5
20,2009-01-04,24.0,10.0,17.0
21,2009-01-05,47.0,7.0,27.0
22,2009-01-06,42.0,24.0,33.0
23,2009-01-07,55.0,27.0,41.0
24,2009-01-08,63.0,30.0,46.5
25,2009-01-09,44.0,19.0,31.5
26,2009-01-10,44.0,20.0,32.0
27,2009-01-11,47.0,18.0,32.5
28,2009-01-12,39.0,13.0,26.0
29,2009-01-13,48.0,15.0,31.5
30,2009-01-14,45.0,25.0,35.0
31,2009-01-15,47.0,23.0,35.0
32,2009-01-16,61.0,31.0,46.0
33,2009-01-17,57.0,24.0,40.5
34,2009-01-18,62.0,31.0,46.5
35,2009-01-19,64.0,33.0,48.5
36,2009-01-20,67.0,30.0,48.5
37,2009-01-21,71.0,41.0,56.0
38,2009-12-15,54.0,21.0,37.5
39,2009-12-16,55.0,30.0,42.5
40,2009-12-17,54.0,23.0,38.5
41,2009-12-18,43.0,17.0,30.0
42,2009-12-19,51.0,14.0,32.5
43,2009-12-20,57.0,19.0,38.0
44,2009-12-21,59.0,32.0,45.5
45,2009-12-22,44.0,28.0,36.0
46,2009-12-23,27.0,13.0,20.0
47,2009-12-24,22.0,2.0,12.0
48,2009-12-25,24.0,-1.0,11.5
49,2009-12-26,30.0,20.0,25.0
50,2009-12-27,26.0,4.0,15.0
51,2009-12-28,30.0,5.0,17.5
52,2009-12-29,32.0,16.0,24.0
53,2009-12-30,31.0,11.0,21.0
54,2009-12-31,36.0,8.0,22.0
55,2010-01-01,40.0,12.0,26.0
56,2010-01-02,40.0,16.0,28.0
57,2010-01-03,36.0,16.0,26.0
58,2010-01-04,36.0,11.0,23.5
59,2010-01-05,47.0,19.0,33.0
60,2010-01-06,42.0,-6.0,18.0
61,2010-01-07,13.0,-16.0,-1.5
62,2010-01-08,33.0,-11.0,11.0
63,2010-01-09,40.0,10.0,25.0
64,2010-01-10,43.0,21.0,32.0
65,2010-01-11,47.0,21.0,34.0
66,2010-01-12,56.0,20.0,38.0
67,2010-01-13,56.0,30.0,43.0
68,2010-01-14,43.0,25.0,34.0
69,2010-01-15,46.0,23.0,34.5
70,2010-01-16,58.0,26.0,42.0
71,2010-01-17,54.0,29.0,41.5
72,2010-01-18,53.0,28.0,40.5
73,2010-01-19,43.0,26.0,34.5
74,2010-01-20,35.0,23.0,29.0
75,2010-01-21,44.0,19.0,31.5
76,2010-12-15,53.0,24.0,38.5
77,2010-12-16,37.0,15.0,26.0
78,2010-12-17,32.0,17.0,24.5
79,2010-12-18,40.0,11.0,25.5
80,2010-12-19,61.0,15.0,38.0
81,2010-12-20,50.0,23.0,36.5
82,2010-12-21,37.0,18.0,27.5
83,2010-12-22,42.0,13.0,27.5
84,2010-12-23,50.0,18.0,34.0
85,2010-12-24,45.0,18.0,31.5
86,2010-12-25,52.0,17.0,34.5
87,2010-12-26,51.0,18.0,34.5
88,2010-12-27,47.0,16.0,31.5
89,2010-12-28,49.0,23.0,36.0
90,2010-12-29,55.0,26.0,40.5
91,2010-12-30,37.0,3.0,20.0
92,2010-12-31,9.0,0.0,4.5
93,2011-01-01,19.0,2.0,10.5
94,2011-01-02,37.0,13.0,25.0
95,2011-01-03,29.0,7.0,18.0
96,2011-01-04,38.0,7.0,22.5
97,2011-01-05,43.0,20.0,31.5
98,2011-01-06,54.0,24.0,39.0
99,2011-01-07,40.0,25.0,32.5
100,2011-01-08,51.0,19.0,35.0
101,2011-01-09,37.0,12.0,24.5
102,2011-01-10,12.0,-3.0,4.5
103,2011-01-11,13.0,-3.0,5.0
104,2011-01-12,32.0,-5.0,13.5
